               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11951,            0.052624,            0.030259,           0.0055943,             0.43624,           0.0051276,           0.0011762,             0.10471,            0.041603,            0.024831,              0.0016,              0.0016,              0.0856
                   1,              0.1049,            0.053523,            0.027402,           0.0066684,             0.52746,            0.012583,           0.0028125,            0.089049,            0.046643,            0.022515,           0.0032347,           0.0032347,            0.070235
                   2,            0.094728,            0.071207,            0.027339,            0.035382,             0.43026,            0.042931,            0.010962,            0.071435,            0.051735,            0.019919,            0.004802,            0.004802,            0.054802
                   3,            0.080413,            0.066131,            0.023432,             0.12876,             0.10063,            0.082378,             0.02106,            0.067509,            0.049171,               0.019,            0.006302,            0.006302,            0.039302
                   4,            0.079087,            0.067258,            0.024659,             0.15348,             0.23086,             0.11607,            0.031381,            0.066116,            0.047268,            0.018471,           0.0077347,           0.0077347,            0.023735
                   5,            0.076502,            0.064293,            0.023189,            0.080233,             0.16664,            0.055447,            0.012214,            0.081691,            0.055337,            0.017496,             0.00901,             0.00901,             0.00901
                   6,            0.088474,            0.051947,            0.021119,            0.039789,             0.24046,            0.036513,           0.0085655,            0.087367,            0.044923,            0.013863,             0.00901,             0.00901,             0.00901
                   7,            0.088583,            0.057073,            0.020551,             0.28476,             0.49188,             0.29712,            0.091193,            0.074681,             0.04035,             0.01196,            0.008812,            0.008812,            0.008812
                   8,            0.079196,            0.062743,            0.019416,             0.21973,              0.4461,              0.1858,            0.053675,            0.074266,            0.045208,            0.011109,            0.008614,            0.008614,            0.008614
                   9,            0.078354,            0.055534,            0.018568,             0.20841,             0.49053,             0.19671,            0.053581,            0.064881,            0.037919,            0.010304,            0.008416,            0.008416,            0.008416
                  10,            0.071095,            0.054311,            0.017579,             0.25507,              0.5077,             0.27255,            0.080735,            0.065089,            0.036904,           0.0090471,            0.008218,            0.008218,            0.008218
                  11,             0.07217,            0.054147,            0.016547,             0.41418,             0.51597,             0.43153,             0.13115,            0.064709,             0.03337,           0.0083837,             0.00802,             0.00802,             0.00802
                  12,            0.069804,            0.057758,            0.016215,             0.40189,             0.60169,             0.48005,             0.18816,            0.058486,            0.035587,           0.0079356,            0.007822,            0.007822,            0.007822
                  13,            0.069981,            0.059533,            0.014251,             0.33892,             0.59649,             0.44265,              0.1432,            0.061809,            0.037024,           0.0073137,            0.007624,            0.007624,            0.007624
                  14,            0.072271,            0.051676,            0.015171,             0.36775,             0.59208,             0.47263,             0.19601,            0.058002,            0.036996,           0.0071003,            0.007426,            0.007426,            0.007426
                  15,            0.067202,            0.048878,            0.013384,             0.45482,             0.72984,              0.6182,             0.26176,            0.050804,            0.035855,           0.0065761,            0.007228,            0.007228,            0.007228
                  16,            0.064811,            0.052818,            0.012073,             0.47216,             0.71766,             0.60593,             0.26682,            0.052561,            0.035614,           0.0062556,             0.00703,             0.00703,             0.00703
                  17,            0.059348,            0.051599,            0.012893,             0.63822,             0.73649,             0.72204,             0.40247,            0.045776,            0.034594,           0.0060126,            0.006832,            0.006832,            0.006832
                  18,            0.058547,            0.054627,            0.010729,             0.65834,             0.76395,             0.75457,              0.4353,             0.04444,            0.035131,           0.0058525,            0.006634,            0.006634,            0.006634
                  19,            0.054994,            0.048355,            0.010309,             0.69767,             0.74256,             0.76568,             0.45295,            0.043331,            0.034553,            0.005664,            0.006436,            0.006436,            0.006436
                  20,            0.057539,            0.050074,            0.011082,             0.69592,             0.71995,             0.75659,             0.44983,             0.04341,            0.034472,           0.0052981,            0.006238,            0.006238,            0.006238
                  21,            0.058064,            0.049267,           0.0089544,             0.45273,             0.77157,             0.50017,             0.27631,            0.049147,            0.030473,           0.0047019,             0.00604,             0.00604,             0.00604
                  22,            0.064348,            0.046259,           0.0091279,             0.40289,             0.71932,             0.47574,             0.19468,            0.053655,            0.032674,           0.0048391,            0.005842,            0.005842,            0.005842
                  23,            0.063452,            0.051367,           0.0088135,             0.49274,             0.54952,             0.55588,             0.21595,            0.050635,            0.029419,           0.0036703,            0.005644,            0.005644,            0.005644
                  24,            0.061898,            0.046192,           0.0083216,             0.43549,             0.68378,               0.484,             0.21309,            0.049765,            0.032597,           0.0039937,            0.005446,            0.005446,            0.005446
                  25,            0.058871,            0.050267,           0.0077687,             0.51295,             0.73525,             0.60407,             0.31828,            0.044159,            0.030354,           0.0041347,            0.005248,            0.005248,            0.005248
